"KODE","TEKST","N3"
"ÆAAX15","GYNÆKOLOGISK SPECIALUNDERSØGELSE INDEN 3 MÅNEDER TILRÅDES",""
"ÆAA0X0","NY CYTOLOGISK PRØVE TILRÅDES",""
"ÆAA0X1","CYT.KONTROL OM 3 MÅNEDER EFTER LOKAL ØSTROGENBEH. TILRÅDES",""
"ÆAA00A","CYT.KONTROL OM 1 ÅR TILRÅDES: TIDLIGERE HYSTEREKTOMERET",""
"ÆAA00B","CYT.KONTROL OM 1 ÅR TILRÅDES: TIDLIGERE STRÅLEBEHANDLET",""
"ÆAA00E","CYT.KONTROL OM 1 ÅR TILRÅDES: TIDLIGERE HISTOLOGISK FUND",""
"ÆAA001","CYT.KONTROL OM 3 MÅNEDER TILRÅDES",""
"ÆAA002","CYT.KONTROL OM 3 MÅNEDER TILRÅDES: TIDLIGERE KONISERET",""
"ÆAA003","CYT.KONTROL OM 3 MÅNEDER TILRÅDES: TIDLIGERE KRYOBEHANDLET",""
"ÆAA004","CYT.KONTROL OM 6 MÅNEDER TILRÅDES",""
"ÆAA005","CYT.KONTROL OM 6 MÅNEDER TILRÅDES: TIDLIGERE CYTOLOGISK FUND",""
"ÆAA006","CYT.KONTROL OM 6 MÅNEDER TILRÅDES: TIDLIGERE KONISERET",""
"ÆAA007","CYT.KONTROL OM 6 MÅNEDER TILRÅDES: TIDLIGERE KRYOBEHANDLET",""
"ÆAA008","CYT.KONTROL OM 1 ÅR TILRÅDES: TIDLIGERE CYTOLOGISK FUND",""
"ÆAA009","CYT.KONTROL OM 1 ÅR TILRÅDES: TIDLIGERE KONISERET",""
"ÆAA01X","KONTROL UØNSKET",""
"ÆAA010","CYT.KONTROL OM 1 ÅR TILRÅDES: TIDLIGERE KRYOBEHANDLET",""
"ÆAA011","CYT.KONTROL OM 3 ÅR TILRÅDES",""
"ÆAA012","NY CYTOLOGISK PRØVE TILRÅDES: AKTUELLE MANGELFULD",""
"ÆAA013","NY PRØVE EFTER BEHANDLING AF BETÆNDELSEN TILRÅDES",""
"ÆAA014","CYT.KONTROL EFTER FØDSLEN TILRÅDES",""
"ÆAA015","GYNÆKOLOGISK SPECIALUNDERSØGELSE MED KOLPOSKOPI TILRÅDES",""
"ÆAA016","NEGATIV CERVIXCYTOLOGI UDELUKKER IKKE ENDOMETRIENEOPLASI",""
"ÆAA017","FORTSAT SPECIEL CYT.KONTROL IKKE INDICERET",""
"ÆAA018","CYT. KONTROL OM 1 ÅR TILRÅDES",""
"ÆAA019","ENDOCERVIKAL PRØVETAGNING MED CYTOBRUSH TILRÅDES",""
"ÆAA020","ENDOCERVIKAL ABRASIO TILRÅDES",""
"ÆD2032","DIAGNOSE ÆNDRET",""
"ÆF002A","GLEASON SCORE 2",""
"ÆF003A","GLEASON SCORE 3",""
"ÆF004A","GLEASON SCORE 4",""
"ÆF005A","GLEASON SCORE 5",""
"ÆF006A","GLEASON SCORE 6",""
"ÆF007A","GLEASON SCORE 7",""
"ÆF008A","GLEASON SCORE 8",""
"ÆF009A","GLEASON SCORE 9",""
"ÆF010A","GLEASON SCORE 10",""
"ÆF1800","PT",""
"ÆF181A","PTA",""
"ÆF1810","PTIS",""
"ÆF1820","PT0",""
"ÆF1830","PT1",""
"ÆF1831","PT1A",""
"ÆF1832","PT1B",""
"ÆF1833","PT1C",""
"ÆF1834","PT1A1",""
"ÆF1835","PT1A2",""
"ÆF1836","PT1B1",""
